,years,technology,scenario,capacity,generation,retirement,cap.change,investment,annual.capex,annual.FOM,annual.VOM,annual.Fuel,annual.opex
182,2027,Geo,Reference,3668.55,27319.416,0.0,22.1500000000001,22.1500000000001,115876.1629163,475637.497994813,0.0,0.0,475637.497994813
183,2028,Geo,Reference,3690.7,27484.356,0.0,22.1499999999996,22.1499999999996,112236.279617406,474655.325210333,0.0,0.0,474655.325210333
184,2029,Geo,Reference,3710.4,27630.797,0.0,19.6999999999998,19.6999999999998,96622.2704741849,473314.360154717,0.0,0.0,473314.360154717
185,2030,Geo,Reference,3730.1,27777.238,0.0,19.7000000000003,19.7000000000003,94189.4476525702,471932.252,0.0,0.0,471932.252
186,2031,Geo,Reference,3754.7,27960.68,0.0,24.5999999999999,24.5999999999999,117029.193410757,475044.644,0.0,0.0,475044.644
187,2032,Geo,Reference,3779.3,28144.122,0.0,24.6000000000004,24.6000000000004,116444.047443706,478157.036,0.0,0.0,478157.036
188,2033,Geo,Reference,3801.45,28308.763,0.0,22.1499999999996,22.1499999999996,104322.742789578,480959.454,0.0,0.0,480959.454
189,2034,Geo,Reference,3823.6,28473.404,0.0,22.1500000000001,22.1500000000001,103801.129075632,483761.872,0.0,0.0,483761.872
190,2035,Geo,Reference,3845.75,28636.459,0.0,22.1500000000001,22.1500000000001,103282.123430254,486564.29,0.0,0.0,486564.29
191,2036,Geo,Reference,3867.9,28799.514,0.0,22.1500000000001,22.1500000000001,102765.712813103,489366.708,0.0,0.0,489366.708
192,2037,Geo,Reference,3890.05,28960.395,0.0,22.1500000000001,22.1500000000001,102251.884249037,492169.126,0.0,0.0,492169.126
193,2038,Geo,Reference,3912.2,29121.276,0.0,22.1499999999996,22.1499999999996,101740.62482779,494971.544,0.0,0.0,494971.544
194,2039,Geo,Reference,4472.35,33279.718,7.79999999999998,560.150000000001,567.950000000001,2595696.15943971,565841.722,0.0,0.0,565841.722
195,2040,Geo,Reference,5032.5,37438.16,7.79999999999998,560.15,567.95,2582717.6786425,636711.9,0.0,0.0,636711.9
196,2041,Geo,Reference,6021.25,44797.305,67.5,988.75,1056.25,4779215.72378874,761808.55,0.0,0.0,761808.55
197,2042,Geo,Reference,7010.0,52156.45,67.5,988.75,1056.25,4755319.64516979,886905.2,0.0,0.0,886905.2
198,2043,Geo,Reference,7052.85,52477.99,42.7,42.8500000000004,85.5500000000004,383226.989506326,892326.582,0.0,0.0,892326.582
199,2044,Geo,Reference,7095.7,52799.53,42.7,42.8499999999995,85.5499999999995,381310.85455879,897747.964,0.0,0.0,897747.964
200,2045,Geo,Reference,7157.15,53268.613,25.0,61.4499999999998,86.4499999999998,383395.695613378,905522.618,0.0,0.0,905522.618
201,2046,Geo,Reference,7218.6,53737.696,25.0,61.4500000000007,86.4500000000007,381478.717135315,913297.272,0.0,0.0,913297.272
202,2047,Geo,Reference,7295.15,54281.756,30.15,76.5499999999993,106.699999999999,468481.899626903,922982.378,0.0,0.0,922982.378
203,2048,Geo,Reference,7371.7,54825.816,30.15,76.5500000000002,106.7,466139.490128773,932667.484,0.0,0.0,932667.484
204,2049,Geo,Reference,7479.15,55636.673,10.0,107.45,117.45,510537.419869223,946262.058,0.0,0.0,946262.058
