"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","FOM","VOM","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"51",2011,"Biomass","95% by 2035",6372.5,35838.4302,102.15,144.8,246.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2011,"Coal","Reference",314056.1,1727710.541808,6788.05,662.199999999953,7450.24999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2011,"Coal","95% by 2050",314056.1,1727710.541808,6788.05,662.199999999953,7450.24999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2011,"Coal","95% by 2035",314056.1,1727710.541808,6788.05,662.199999999953,7450.24999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2011,"CSP","Reference",485.3,1016.043492,0,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2011,"CSP","95% by 2050",485.3,1016.043492,0,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2011,"CSP","95% by 2035",485.3,1016.043492,0,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2011,"Gas CC","Reference",210518.7,816955.708716,34.7500000000001,8114.30000000002,8149.05000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2011,"Gas CC","95% by 2050",210518.7,816955.708716,34.7500000000001,8114.30000000002,8149.05000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2011,"Gas CC","95% by 2035",210518.7,816955.708716,34.7500000000001,8114.30000000002,8149.05000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2011,"Gas CC CCS","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2011,"Gas CC CCS","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2011,"Gas CC CCS","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2011,"Gas CT","Reference",227548.2,194845.772556,4663.2,-1525.69999999998,3137.50000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2011,"Gas CT","95% by 2050",227548.2,194845.772556,4663.2,-1525.69999999998,3137.50000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2011,"Gas CT","95% by 2035",227548.2,194845.772556,4663.2,-1525.69999999998,3137.50000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2011,"Geothermal","Reference",2407.9,15081.64086,0,15.8000000000002,15.8000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2011,"Geothermal","95% by 2050",2407.9,15081.64086,0,15.8000000000002,15.8000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2011,"Geothermal","95% by 2035",2407.9,15081.64086,0,15.8000000000002,15.8000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2011,"Hydro","95% by 2050",78564.7,315207.861576,0,-245.600000000006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2011,"Hydro","Reference",78564.7,315207.861576,0,-245.600000000006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2011,"Hydro","95% by 2035",78564.7,315207.861576,0,-245.600000000006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2011,"Nuclear","Reference",101265.1,790390.307916,0,97.7000000000116,97.7000000000116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2011,"Nuclear","95% by 2050",101265.1,790390.307916,0,97.7000000000116,97.7000000000116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2011,"Nuclear","95% by 2035",101265.1,790390.307916,0,97.7000000000116,97.7000000000116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2011,"PHS","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2011,"PHS","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2011,"PHS","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2011,"PV dist","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2011,"PV dist","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2011,"PV dist","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2011,"PV utility","Reference",537,893.7828,0,330.2,330.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2011,"PV utility","95% by 2050",537,893.7828,0,330.2,330.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2011,"PV utility","95% by 2035",537,893.7828,0,330.2,330.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2011,"Wind off","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2011,"Wind off","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2011,"Wind off","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2011,"Wind on","95% by 2035",42019.2,118156.309632,18.5,6316.6,6335.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2011,"Wind on","95% by 2050",42019.2,118156.309632,18.5,6316.6,6335.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2011,"Wind on","Reference",42019.2,118156.309632,18.5,6316.6,6335.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2012,"Batteries","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2012,"Batteries","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2012,"Batteries","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",2012,"Biomass","Reference",6442.5,35724.1779,102.15,70,172.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2012,"Biomass","95% by 2050",6442.5,35724.1779,102.15,70,172.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2012,"Biomass","95% by 2035",6442.5,35724.1779,102.15,70,172.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2012,"Coal","Reference",304974.9,1501428.029688,6788.05,-9081.19999999995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2012,"Coal","95% by 2050",304974.9,1501428.029688,6788.05,-9081.19999999995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2012,"Coal","95% by 2035",304974.9,1501428.029688,6788.05,-9081.19999999995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2012,"CSP","Reference",476,984.06336,0,-9.30000000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2012,"CSP","95% by 2050",476,984.06336,0,-9.30000000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2012,"CSP","95% by 2035",476,984.06336,0,-9.30000000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2012,"Gas CC","Reference",217938.2,996570.365904,34.7500000000001,7419.5,7454.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2012,"Gas CC","95% by 2050",217938.2,996570.365904,34.7500000000001,7419.5,7454.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
