"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","FOM","VOM","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"456",2020,"Biomass","Reference",6929,37936.275,246.35,-361.6,0,4332.66517328873,149.833992094862,4.79249011857707,3.19246619489232,0,1038199.7312253,181809.223073122,121110.275497639,1341119.22979606
"457",2020,"Coal","95% by 2035",220623.2,782726.98896,10451.15,-14466.1,0,3112.06105725676,71.8,7.86,17.4691500923379,0,15840745.76,6152234.1332256,13673575.251466,35666555.1446915
"458",2020,"Coal","95% by 2050",220623.2,782726.98896,10451.15,-14466.1,0,3112.06105725676,71.8,7.86,17.4691500923379,0,15840745.76,6152234.1332256,13673575.251466,35666555.1446915
"459",2020,"Coal","Reference",220623.2,782726.98896,10451.15,-14466.1,0,3112.06105725676,71.8,7.86,17.4691500923379,0,15840745.76,6152234.1332256,13673575.251466,35666555.1446915
"460",2020,"CSP","95% by 2035",1005,2068.1884,0,0,0,6572.58583511703,65.61205,3.5001425,0,0,65940.11025,7238.954116847,0,73179.064366847
"461",2020,"CSP","95% by 2050",1005,2068.1884,0,0,0,6572.58583511703,65.61205,3.5001425,0,0,65940.11025,7238.954116847,0,73179.064366847
"462",2020,"CSP","Reference",1005,2068.1884,0,0,0,6572.58583511703,65.61205,3.5001425,0,0,65940.11025,7238.954116847,0,73179.064366847
"463",2020,"Gas CC","95% by 2035",274300.4,1369636.75728,406,7453.90000000002,7859.90000000002,1049.31178320442,27.3,1.74,16.6677689587426,8247485.68480845,7488400.92,2383167.9576672,22828789.0277445,32700357.9054117
"464",2020,"Gas CC","Reference",274300.4,1369636.75728,406,7453.90000000002,7859.90000000002,1049.31178320442,27.3,1.74,16.6677689587426,8247485.68480845,7488400.92,2383167.9576672,22828789.0277445,32700357.9054117
"465",2020,"Gas CC","95% by 2050",274300.4,1369636.75728,406,7453.90000000002,7859.90000000002,1049.31178320442,27.3,1.74,16.6677689587426,8247485.68480845,7488400.92,2383167.9576672,22828789.0277445,32700357.9054117
"466",2020,"Gas CC CCS","95% by 2035",0,0,0,0,0,2571.19762969109,65.1,5.73,19.6106719155206,0,0,0,0,0
"467",2020,"Gas CC CCS","Reference",0,0,0,0,0,2571.19762969109,65.1,5.73,19.6106719155206,0,0,0,0,0
"468",2020,"Gas CC CCS","95% by 2050",0,0,0,0,0,2571.19762969109,65.1,5.73,19.6106719155206,0,0,0,0,0
"469",2020,"Gas CT","95% by 2035",218114.2,240967.296948,2882.55,421.400000000023,3303.95000000002,927.604773867234,20.9,4.94,24.7672629371316,3064759.79261867,4558586.78,1190378.44692312,5968100.40276099,11717065.6296841
"470",2020,"Gas CT","95% by 2050",218114.2,240967.296948,2882.55,421.400000000023,3303.95000000002,927.604773867234,20.9,4.94,24.7672629371316,3064759.79261867,4558586.78,1190378.44692312,5968100.40276099,11717065.6296841
"471",2020,"Gas CT","Reference",218114.2,240967.296948,2882.55,421.400000000023,3303.95000000002,927.604773867234,20.9,4.94,24.7672629371316,3064759.79261867,4558586.78,1190378.44692312,5968100.40276099,11717065.6296841
"472",2020,"Geothermal","95% by 2050",2561.5,15505.16934,0,26.3000000000002,26.3000000000002,6542.07112435435,137.058380730499,0,0,172056.470570521,351075.042241173,0,0,351075.042241173
"473",2020,"Geothermal","95% by 2035",2561.5,15505.16934,0,26.3000000000002,26.3000000000002,6542.07112435435,137.058380730499,0,0,172056.470570521,351075.042241173,0,0,351075.042241173
"474",2020,"Geothermal","Reference",2561.5,15505.16934,0,26.3000000000002,26.3000000000002,6542.07112435435,137.058380730499,0,0,172056.470570521,351075.042241173,0,0,351075.042241173
"475",2020,"Hydro","Reference",79810.4,284549.615328,0,-27.6000000000058,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"476",2020,"Hydro","95% by 2050",79810.4,284549.615328,0,-27.6000000000058,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"477",2020,"Hydro","95% by 2035",79810.4,284549.615328,0,-27.6000000000058,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"478",2020,"Nuclear","95% by 2050",97238.3,787070.137392,1546.95,-1598.39999999999,0,7333.60413850404,144.97233201581,2.35177865612648,7.08835569664032,0,14096863.1122529,1851014.74999304,5579033.09203806,21526910.954284
"479",2020,"Nuclear","95% by 2035",97238.3,787070.137392,1546.95,-1598.39999999999,0,7333.60413850404,144.97233201581,2.35177865612648,7.08835569664032,0,14096863.1122529,1851014.74999304,5579033.09203806,21526910.954284
"480",2020,"Nuclear","Reference",97238.3,787070.137392,1546.95,-1598.39999999999,0,7333.60413850404,144.97233201581,2.35177865612648,7.08835569664032,0,14096863.1122529,1851014.74999304,5579033.09203806,21526910.954284
"481",2020,"PHS","Reference",22939.6,21099.84408,0,184.899999999998,184.899999999998,2528.24901079496,63.25971,0,0,467473.242095983,1451152.443516,0,0,1451152.443516
"482",2020,"PHS","95% by 2050",22939.6,21099.84408,0,184.899999999998,184.899999999998,2528.24901079496,63.25971,0,0,467473.242095983,1451152.443516,0,0,1451152.443516
"483",2020,"PHS","95% by 2035",22939.6,21099.84408,0,184.899999999998,184.899999999998,2528.24901079496,63.25971,0,0,467473.242095983,1451152.443516,0,0,1451152.443516
"484",2020,"PV dist","95% by 2035",27584.8,41522,0,4371.2,4371.2,2366.6590605527,25.1743367614634,0,0,10345140.085488,694429.044697616,0,0,694429.044697616
"485",2020,"PV dist","95% by 2050",27584.8,41522,0,4371.2,4371.2,2366.6590605527,25.1743367614634,0,0,10345140.085488,694429.044697616,0,0,694429.044697616
"486",2020,"PV dist","Reference",27584.8,41522,0,4371.2,4371.2,2366.6590605527,25.1743367614634,0,0,10345140.085488,694429.044697616,0,0,694429.044697616
"487",2020,"PV utility","Reference",39458.1,83648.015352,0,7617.3,7617.3,1376.5401161147,23.3964,0,0,10485519.0264805,923177.49084,0,0,923177.49084
"488",2020,"PV utility","95% by 2050",39458.1,83648.015352,0,7617.3,7617.3,1376.5401161147,23.3964,0,0,10485519.0264805,923177.49084,0,0,923177.49084
"489",2020,"PV utility","95% by 2035",39458.1,83648.015352,0,7617.3,7617.3,1376.5401161147,23.3964,0,0,10485519.0264805,923177.49084,0,0,923177.49084
"490",2020,"Wind off","95% by 2035",0,0,0,0,0,3592.2699227799,111.496061230678,0,0,0,0,0,0,0
"491",2020,"Wind off","Reference",0,0,0,0,0,3592.2699227799,111.496061230678,0,0,0,0,0,0,0
"492",2020,"Wind off","95% by 2050",0,0,0,0,0,3592.2699227799,111.496061230678,0,0,0,0,0,0,0
"493",2020,"Wind on","95% by 2050",107387.7,332072.836956,61.2,9822.89999999999,9884.09999999999,1391.81818181818,42.6318181818182,0,0,13756870.0909091,4578132.90136364,0,0,4578132.90136364
"494",2020,"Wind on","Reference",107387.7,332072.836956,61.2,9822.89999999999,9884.09999999999,1391.81818181818,42.6318181818182,0,0,13756870.0909091,4578132.90136364,0,0,4578132.90136364
"495",2020,"Wind on","95% by 2035",107387.7,332072.836956,61.2,9822.89999999999,9884.09999999999,1391.81818181818,42.6318181818182,0,0,13756870.0909091,4578132.90136364,0,0,4578132.90136364
"496",2021,"Batteries","Reference",6365.25,4683.579428,0,5154.95,5154.95,1281.81306483994,32.0453266209986,0,0,6607682.25859665,203976.515274311,0,0,203976.515274311
"497",2021,"Batteries","95% by 2035",6365.25,4689.204928,0,5154.95,5154.95,1281.81306483994,32.0453266209986,0,0,6607682.25859665,203976.515274311,0,0,203976.515274311
"498",2021,"Batteries","95% by 2050",6365.25,4689.204928,0,5154.95,5154.95,1281.81306483994,32.0453266209986,0,0,6607682.25859665,203976.515274311,0,0,203976.515274311
"499",2021,"Biomass","95% by 2035",6644.4,37747.1915,0,-284.6,0,4319.38009985681,149.833992094862,4.79249011857707,3.19246619489232,0,995556.977075101,180903.042267786,120506.632815877,1296966.65215876
"500",2021,"Biomass","95% by 2050",6644.4,37747.1915,0,-284.6,0,4319.38009985681,149.833992094862,4.79249011857707,3.19246619489232,0,995556.977075101,180903.042267786,120506.632815877,1296966.65215876
"501",2021,"Biomass","Reference",6644.4,37747.2635,0,-284.6,0,4319.38009985681,149.833992094862,4.79249011857707,3.19246619489232,0,995556.977075101,180903.387327075,120506.862673443,1296967.22707562
"502",2021,"Coal","95% by 2035",214477.35,892936.69448,5826.15,-6145.85000000001,0,3102.48180044335,71.8,7.86,17.1873798899804,0,15399473.73,7018482.4186128,15347242.1857311,37765198.3343439
"503",2021,"Coal","95% by 2050",214477.35,892936.69448,5826.15,-6145.85000000001,0,3102.48180044335,71.8,7.86,17.1873798899804,0,15399473.73,7018482.4186128,15347242.1857311,37765198.3343439
"504",2021,"Coal","Reference",214477.35,893168.14448,5826.15,-6145.85000000001,0,3102.48180044335,71.8,7.86,17.1873798899804,0,15399473.73,7020301.6156128,15351220.2048067,37770995.5504195
"505",2021,"CSP","95% by 2035",1005,2068.1884,0,0,0,6306.99876083038,65.61205,3.5001425,0,0,65940.11025,7238.954116847,0,73179.064366847
"506",2021,"CSP","95% by 2050",1005,2068.1884,0,0,0,6306.99876083038,65.61205,3.5001425,0,0,65940.11025,7238.954116847,0,73179.064366847
"507",2021,"CSP","Reference",1005,2068.1884,0,0,0,6306.99876083038,65.61205,3.5001425,0,0,65940.11025,7238.954116847,0,73179.064366847
"508",2021,"Gas CC","95% by 2050",279847.8,1269909.07864,44.4999999999997,5547.40000000002,5591.90000000002,1043.82948548653,27.3,1.74,17.7118365422397,5836990.09989215,7639844.94,2209641.7968336,22492422.0243779,32341908.7612115
"509",2021,"Gas CC","95% by 2035",279847.8,1269909.07864,44.4999999999997,5547.40000000002,5591.90000000002,1043.82948548653,27.3,1.74,17.7118365422397,5836990.09989215,7639844.94,2209641.7968336,22492422.0243779,32341908.7612115
"510",2021,"Gas CC","Reference",279847.8,1269702.92864,44.4999999999997,5547.40000000002,5591.90000000002,1043.82948548653,27.3,1.74,17.7118365422397,5836990.09989215,7639844.94,2209283.0958336,22488770.7292747,32337898.7651083
"511",2021,"Gas CC CCS","95% by 2050",0,0,0,0,0,2473.61273031262,65.1,5.73,20.8390826817289,0,0,0,0,0
"512",2021,"Gas CC CCS","95% by 2035",0,0,0,0,0,2473.61273031262,65.1,5.73,20.8390826817289,0,0,0,0,0
"513",2021,"Gas CC CCS","Reference",0,0,0,0,0,2473.61273031262,65.1,5.73,20.8390826817289,0,0,0,0,0
"514",2021,"Gas CT","95% by 2050",218849.55,137056.182474,3504.95,735.349999999977,4240.29999999998,918.833097518608,20.9,4.94,26.3186821119843,3896127.98340813,4573955.595,677057.54142156,3607138.09801532,8858151.23443688
"515",2021,"Gas CT","95% by 2035",218849.55,137056.182474,3504.95,735.349999999977,4240.29999999998,918.833097518608,20.9,4.94,26.3186821119843,3896127.98340813,4573955.595,677057.54142156,3607138.09801532,8858151.23443688
"516",2021,"Gas CT","Reference",218849.55,137028.897474,3504.95,735.349999999977,4240.29999999998,918.833097518608,20.9,4.94,26.3186821119843,3896127.98340813,4573955.595,676922.75352156,3606419.99277389,8857298.34129545
"517",2021,"Geothermal","95% by 2035",2727.4,18525.54167,0,165.9,165.9,6439.39493862314,136.110109428366,0,0,1068295.62031758,371226.712454925,0,0,371226.712454925
"518",2021,"Geothermal","Reference",2727.4,18525.53767,0,165.9,165.9,6439.39493862314,136.110109428366,0,0,1068295.62031758,371226.712454925,0,0,371226.712454925
"519",2021,"Geothermal","95% by 2050",2727.4,18525.54167,0,165.9,165.9,6439.39493862314,136.110109428366,0,0,1068295.62031758,371226.712454925,0,0,371226.712454925
"520",2021,"Hydro","95% by 2050",79810.4,277797.717664,0,0,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"521",2021,"Hydro","Reference",79810.4,277795.272664,0,0,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"522",2021,"Hydro","95% by 2035",79810.4,277797.717664,0,0,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"523",2021,"Nuclear","95% by 2035",95092.45,764734.298696,2953.25,-2145.84999999999,807.400000000009,7279.13391420265,144.97233201581,2.35177865612648,7.09874871047431,5877172.72232728,13785774.2335968,1798485.80128111,5428656.61672371,21012916.6516016
"524",2021,"Nuclear","Reference",95092.45,764734.298696,2953.25,-2145.84999999999,807.400000000009,7279.13391420265,144.97233201581,2.35177865612648,7.09874871047431,5877172.72232728,13785774.2335968,1798485.80128111,5428656.61672371,21012916.6516016
"525",2021,"Nuclear","95% by 2050",95092.45,764734.298696,2953.25,-2145.84999999999,807.400000000009,7279.13391420265,144.97233201581,2.35177865612648,7.09874871047431,5877172.72232728,13785774.2335968,1798485.80128111,5428656.61672371,21012916.6516016
"526",2021,"PHS","95% by 2035",22878.95,18236.99104,0,-60.6500000000015,0,2528.24901079496,63.25971,0,0,0,1447315.7421045,0,0,1447315.7421045
"527",2021,"PHS","Reference",22878.95,18219.73154,0,-60.6500000000015,0,2528.24901079496,63.25971,0,0,0,1447315.7421045,0,0,1447315.7421045
"528",2021,"PHS","95% by 2050",22878.95,18236.99104,0,-60.6500000000015,0,2528.24901079496,63.25971,0,0,0,1447315.7421045,0,0,1447315.7421045
"529",2021,"PV dist","95% by 2050",29829.9,45110.946,0,2245.1,2245.1,2227.07268352057,23.9332843635166,0,0,5000000.88177204,713927.479235264,0,0,713927.479235264
"530",2021,"PV dist","Reference",29829.9,45110.932,0,2245.1,2245.1,2227.07268352057,23.9332843635166,0,0,5000000.88177204,713927.479235264,0,0,713927.479235264
"531",2021,"PV dist","95% by 2035",29829.9,45110.946,0,2245.1,2245.1,2227.07268352057,23.9332843635166,0,0,5000000.88177204,713927.479235264,0,0,713927.479235264
"532",2021,"PV utility","Reference",55207.9,126103.877676,0,15749.8,15749.8,1316.47716579676,22.7103786545281,0,0,20734252.0658658,1253792.31372132,0,0,1253792.31372132
"533",2021,"PV utility","95% by 2050",55207.9,126066.832676,0,15749.8,15749.8,1316.47716579676,22.7103786545281,0,0,20734252.0658658,1253792.31372132,0,0,1253792.31372132
"534",2021,"PV utility","95% by 2035",55207.9,126066.832676,0,15749.8,15749.8,1316.47716579676,22.7103786545281,0,0,20734252.0658658,1253792.31372132,0,0,1253792.31372132
"535",2021,"Wind off","95% by 2050",37.2,137.0935,0,37.2,37.2,3392.95347661936,106.554509746361,0,0,126217.86933024,3963.82776256463,0,0,3963.82776256463
"536",2021,"Wind off","95% by 2035",37.2,137.0935,0,37.2,37.2,3392.95347661936,106.554509746361,0,0,126217.86933024,3963.82776256463,0,0,3963.82776256463
"537",2021,"Wind off","Reference",37.2,137.0935,0,37.2,37.2,3392.95347661936,106.554509746361,0,0,126217.86933024,3963.82776256463,0,0,3963.82776256463
"538",2021,"Wind on","95% by 2035",126752.9,410232.353478,67.35,19365.2,19432.55,1347.63636363636,42.2636363636364,0,0,26188011.0181817,5357038.47363637,0,0,5357038.47363637
"539",2021,"Wind on","95% by 2050",126752.9,410232.353478,67.35,19365.2,19432.55,1347.63636363636,42.2636363636364,0,0,26188011.0181817,5357038.47363637,0,0,5357038.47363637
"540",2021,"Wind on","Reference",126752.9,410196.168478,67.35,19365.2,19432.55,1347.63636363636,42.2636363636364,0,0,26188011.0181817,5357038.47363637,0,0,5357038.47363637
"541",2022,"Batteries","95% by 2035",11520.2,8827.094,0,5154.95,5154.95,1200.34189546452,30.0085473866131,0,0,6187702.45402483,345704.46760326,0,0,345704.46760326
"542",2022,"Batteries","95% by 2050",11520.2,8827.094,0,5154.95,5154.95,1200.34189546452,30.0085473866131,0,0,6187702.45402483,345704.46760326,0,0,345704.46760326
"543",2022,"Batteries","Reference",11520.2,8815.843,0,5154.95,5154.95,1200.34189546452,30.0085473866131,0,0,6187702.45402483,345704.46760326,0,0,345704.46760326
"544",2022,"Biomass","95% by 2035",6359.8,37558.108,0,-284.599999999999,0,4305.88284760914,149.833992094862,4.79249011857707,3.19246619489232,0,952914.222924903,179996.86146245,119902.990134115,1252814.07452147
"545",2022,"Biomass","95% by 2050",6359.8,37558.108,0,-284.599999999999,0,4305.88284760914,149.833992094862,4.79249011857707,3.19246619489232,0,952914.222924903,179996.86146245,119902.990134115,1252814.07452147
"546",2022,"Biomass","Reference",6359.8,37558.252,0,-284.599999999999,0,4305.88284760914,149.833992094862,4.79249011857707,3.19246619489232,0,952914.222924903,179997.551581027,119903.449849247,1252815.22435518
"547",2022,"Coal","95% by 2035",208331.5,1003146.4,5826.15,-6145.85000000001,0,3092.90254362994,71.8,7.86,16.949970654224,0,14958201.7,7884730.704,17003302.0418904,39846234.4458904
"548",2022,"Coal","95% by 2050",208331.5,1003146.4,5826.15,-6145.85000000001,0,3092.90254362994,71.8,7.86,16.949970654224,0,14958201.7,7884730.704,17003302.0418904,39846234.4458904
"549",2022,"Coal","Reference",208331.5,1003609.3,5826.15,-6145.85000000001,0,3092.90254362994,71.8,7.86,16.949970654224,0,14958201.7,7888369.098,17011148.1833063,39857718.9813063
"550",2022,"CSP","Reference",1005,2068.1884,0,0,0,6019.32729792508,63.9270431491375,2.8854875,0,0,64246.6783648832,5967.731775845,0,70214.4101407282
"551",2022,"CSP","95% by 2035",1005,2068.1884,0,0,0,6019.32729792508,63.9270431491375,2.8854875,0,0,64246.6783648832,5967.731775845,0,70214.4101407282
"552",2022,"CSP","95% by 2050",1005,2068.1884,0,0,0,6019.32729792508,63.9270431491375,2.8854875,0,0,64246.6783648832,5967.731775845,0,70214.4101407282
"553",2022,"Gas CC","95% by 2035",285395.2,1170181.4,44.4999999999997,5547.39999999997,5591.89999999997,1041.63656639938,27.3,1.74,17.675636935167,5824727.51564866,7791288.96,2036115.636,20683701.5746854,30511106.1706854
"554",2022,"Gas CC","95% by 2050",285395.2,1170181.4,44.4999999999997,5547.39999999997,5591.89999999997,1041.63656639938,27.3,1.74,17.675636935167,5824727.51564866,7791288.96,2036115.636,20683701.5746854,30511106.1706854
"555",2022,"Gas CC","Reference",285395.2,1169769.1,44.4999999999997,5547.39999999997,5591.89999999997,1041.63656639938,27.3,1.74,17.675636935167,5824727.51564866,7791288.96,2035398.234,20676413.9095771,30503101.1035771
"556",2022,"Gas CC CCS","95% by 2035",0,0,0,0,0,2380.41366910847,65.1,5.73,20.7964915815324,0,0,0,0,0
"557",2022,"Gas CC CCS","Reference",0,0,0,0,0,2380.41366910847,65.1,5.73,20.7964915815324,0,0,0,0,0
"558",2022,"Gas CC CCS","95% by 2050",0,0,0,0,0,2380.41366910847,65.1,5.73,20.7964915815324,0,0,0,0,0
"559",2022,"Gas CT","95% by 2050",219584.9,33145.068,3504.95,735.350000000006,4240.30000000001,914.447259344295,20.9,4.94,26.2648917583497,3877530.71379762,4589324.41,163736.63592,870551.62334314,5623612.66926314
"560",2022,"Gas CT","Reference",219584.9,33090.498,3504.95,735.350000000006,4240.30000000001,914.447259344295,20.9,4.94,26.2648917583497,3877530.71379762,4589324.41,163467.06012,869118.348199887,5621909.81831989
"561",2022,"Gas CT","95% by 2035",219584.9,33145.068,3504.95,735.350000000006,4240.30000000001,914.447259344295,20.9,4.94,26.2648917583497,3877530.71379762,4589324.41,163736.63592,870551.62334314,5623612.66926314
"562",2022,"Geothermal","95% by 2050",2893.3,21545.914,0,165.9,165.9,6337.16518057879,135.161838126232,0,0,1051335.70345802,391063.746250627,0,0,391063.746250627
"563",2022,"Geothermal","95% by 2035",2893.3,21545.914,0,165.9,165.9,6337.16518057879,135.161838126232,0,0,1051335.70345802,391063.746250627,0,0,391063.746250627
"564",2022,"Geothermal","Reference",2893.3,21545.906,0,165.9,165.9,6337.16518057879,135.161838126232,0,0,1051335.70345802,391063.746250627,0,0,391063.746250627
"565",2022,"Hydro","95% by 2035",79810.4,271045.82,0,0,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"566",2022,"Hydro","95% by 2050",79810.4,271045.82,0,0,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"567",2022,"Hydro","Reference",79810.4,271040.93,0,0,0,2528.24901079496,63.25971,0,0,0,5048782.758984,0,0,5048782.758984
"568",2022,"Nuclear","Reference",92946.6,742398.46,2953.25,-2145.85000000001,807.399999999994,7256.70953168789,144.97233201581,2.35177865612648,7.1091417243083,5859067.27588476,13474685.3549407,1745956.85256917,5277815.86804823,20498458.0755581
"569",2022,"Nuclear","95% by 2035",92946.6,742398.46,2953.25,-2145.85000000001,807.399999999994,7256.70953168789,144.97233201581,2.35177865612648,7.1091417243083,5859067.27588476,13474685.3549407,1745956.85256917,5277815.86804823,20498458.0755581
"570",2022,"Nuclear","95% by 2050",92946.6,742398.46,2953.25,-2145.85000000001,807.399999999994,7256.70953168789,144.97233201581,2.35177865612648,7.1091417243083,5859067.27588476,13474685.3549407,1745956.85256917,5277815.86804823,20498458.0755581
"571",2022,"PHS","95% by 2035",22818.3,15374.138,0,-60.6499999999978,0,2528.24901079496,63.25971,0,0,0,1443479.040693,0,0,1443479.040693
"572",2022,"PHS","95% by 2050",22818.3,15374.138,0,-60.6499999999978,0,2528.24901079496,63.25971,0,0,0,1443479.040693,0,0,1443479.040693
"573",2022,"PHS","Reference",22818.3,15339.619,0,-60.6499999999978,0,2528.24901079496,63.25971,0,0,0,1443479.040693,0,0,1443479.040693
"574",2022,"PV dist","Reference",32075,48699.864,0,2245.1,2245.1,2087.48630648844,22.6922319655699,0,0,4686615.50669719,727853.340295654,0,0,727853.340295654
"575",2022,"PV dist","95% by 2050",32075,48699.892,0,2245.1,2245.1,2087.48630648844,22.6922319655699,0,0,4686615.50669719,727853.340295654,0,0,727853.340295654
"576",2022,"PV dist","95% by 2035",32075,48699.892,0,2245.1,2245.1,2087.48630648844,22.6922319655699,0,0,4686615.50669719,727853.340295654,0,0,727853.340295654
"577",2022,"PV utility","Reference",70957.7,168559.74,0,15749.8,15749.8,1256.41421547883,22.0269633696622,0,0,19788272.6109485,1562982.65869548,0,0,1562982.65869548
"578",2022,"PV utility","95% by 2050",70957.7,168485.65,0,15749.8,15749.8,1256.41421547883,22.0269633696622,0,0,19788272.6109485,1562982.65869548,0,0,1562982.65869548
"579",2022,"PV utility","95% by 2035",70957.7,168485.65,0,15749.8,15749.8,1256.41421547883,22.0269633696622,0,0,19788272.6109485,1562982.65869548,0,0,1562982.65869548
"580",2022,"Wind off","95% by 2050",74.4,274.187,0,37.2,37.2,3230.56566699636,102.721544633816,0,0,120177.042812265,7642.48292075591,0,0,7642.48292075591
"581",2022,"Wind off","95% by 2035",74.4,274.187,0,37.2,37.2,3230.56566699636,102.721544633816,0,0,120177.042812265,7642.48292075591,0,0,7642.48292075591
"582",2022,"Wind off","Reference",74.4,274.187,0,37.2,37.2,3230.56566699636,102.721544633816,0,0,120177.042812265,7642.48292075591,0,0,7642.48292075591
"583",2022,"Wind on","Reference",146118.1,488319.5,67.35,19365.2,19432.55,1303.45454545455,41.8954545454545,0,0,25329445.6272728,6121684.21681818,0,0,6121684.21681818
"584",2022,"Wind on","95% by 2035",146118.1,488391.87,67.35,19365.2,19432.55,1303.45454545455,41.8954545454545,0,0,25329445.6272728,6121684.21681818,0,0,6121684.21681818
"585",2022,"Wind on","95% by 2050",146118.1,488391.87,67.35,19365.2,19432.55,1303.45454545455,41.8954545454545,0,0,25329445.6272728,6121684.21681818,0,0,6121684.21681818
"586",2023,"Batteries","95% by 2050",12444,9567.6465,3,923.799999999999,926.799999999999,1118.8707260891,27.9717681522276,0,0,1036969.38893938,348080.68288632,0,0,348080.68288632
"587",2023,"Batteries","95% by 2035",12454.7,9584.508,3,934.5,937.5,1118.8707260891,27.9717681522276,0,0,1048941.30570853,348379.980805549,0,0,348379.980805549
"588",2023,"Batteries","Reference",12444,9558.552,3,923.799999999999,926.799999999999,1118.8707260891,27.9717681522276,0,0,1036969.38893938,348080.68288632,0,0,348080.68288632
"589",2023,"Biomass","95% by 2050",6361.8,37514.559,8,2,10,4277.50103118544,149.833992094862,4.79249011857707,3.19246619489232,42775.0103118544,953213.890909093,179788.153310276,119763.961423793,1252766.00564316
"590",2023,"Biomass","95% by 2035",6361.8,37522.314,8,2,10,4277.50103118544,149.833992094862,4.79249011857707,3.19246619489232,42775.0103118544,953213.890909093,179825.319071146,119788.718999135,1252827.92897937
"591",2023,"Biomass","Reference",6361.8,37514.676,8,2,10,4277.50103118544,149.833992094862,4.79249011857707,3.19246619489232,42775.0103118544,953213.890909093,179788.71403162,119764.334942338,1252766.93988305
"592",2023,"Coal","95% by 2050",194225.95,865058.2,14114.1423643484,-14105.55,8.59236434841114,3072.54662290144,71.8,7.86,16.7638887878193,26400.4400614494,13945423.21,6799357.452,14501739.4597911,35246520.1217911
"593",2023,"Coal","95% by 2035",193650.2,854926,14703.8379225757,-14681.3,22.5379225757115,3072.54662290144,71.8,7.86,16.7638887878193,69248.8178972165,13904084.36,6719718.36,14331884.3858152,34955687.1058152
"594",2023,"Coal","Reference",194225.95,865221.25,14114.1423643484,-14105.55,8.59236434841114,3072.54662290144,71.8,7.86,16.7638887878193,26400.4400614494,13945423.21,6800639.025,14504472.811858,35250535.046858
"595",2023,"CSP","95% by 2050",1005,2076.8367,0,0,0,5759.11500859216,62.242036298275,2.8854875,0,0,62553.2464797664,5992.68633739125,0,68545.9328171576
"596",2023,"CSP","95% by 2035",1005,2066.8918,0,0,0,5759.11500859216,62.242036298275,2.8854875,0,0,62553.2464797664,5963.9904527525,0,68517.2369325189
"597",2023,"CSP","Reference",1005,2076.8367,0,0,0,5759.11500859216,62.242036298275,2.8854875,0,0,62553.2464797664,5992.68633739125,0,68545.9328171576
"598",2023,"Gas CC","Reference",290234.8,1310924.95,890.950000000001,4839.60000000003,5730.55000000004,1029.57551142002,27.3,1.74,18.116457367387,5900033.94696803,7923410.04,2281009.413,23749315.9685189,33953735.4215189
"599",2023,"Gas CC","95% by 2050",290234.8,1311051.9,890.950000000001,4839.60000000003,5730.55000000004,1029.57551142002,27.3,1.74,18.116457367387,5900033.94696803,7923410.04,2281230.306,23751615.8527817,33956256.1987817
"600",2023,"Gas CC","95% by 2035",290397.7,1315538.75,890.950000000001,5002.5,5893.45,1029.57551142002,27.3,1.74,18.116457367387,6067751.79777832,7927857.21,2289037.425,23832901.6795206,34049796.3145206
"601",2023,"Gas CC CCS","95% by 2050",0,0,0,0,0,2342.03758508323,64.8,5.71,21.3151443713163,0,0,0,0,0
"602",2023,"Gas CC CCS","Reference",0,0,0,0,0,2342.03758508323,64.8,5.71,21.3151443713163,0,0,0,0,0
"603",2023,"Gas CC CCS","95% by 2035",0,0,0,0,0,2342.03758508323,64.8,5.71,21.3151443713163,0,0,0,0,0
"604",2023,"Gas CT","Reference",207370.05,42542.669,11621.6305793787,-12214.85,0,895.807447103464,20.9,4.94,26.9199233693517,0,4334034.045,210160.78486,1145245.38940769,5689440.21926769
"605",2023,"Gas CT","95% by 2035",207199.9,42549.446,11800.4945452515,-12385,0,895.807447103464,20.9,4.94,26.9199233693517,0,4330477.91,210194.26324,1145427.82572837,5686099.99896837
"606",2023,"Gas CT","95% by 2050",207370.05,42572.685,11621.6305793787,-12214.85,0,895.807447103464,20.9,4.94,26.9199233693517,0,4334034.045,210309.0639,1146053.41782755,5690396.52672755
"607",2023,"Geothermal","Reference",2893.3,21545.911,0,0,0,6235.3818502213,134.213566824099,0,0,0,388320.112892166,0,0,388320.112892166
"608",2023,"Geothermal","95% by 2050",2893.3,21545.917,0,0,0,6235.3818502213,134.213566824099,0,0,0,388320.112892166,0,0,388320.112892166
"609",2023,"Geothermal","95% by 2035",2893.3,21545.917,0,0,0,6235.3818502213,134.213566824099,0,0,0,388320.112892166,0,0,388320.112892166
