"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","Fixed.O.M","Variable.O.M","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"1466",2042,"Hydro","95% by 2050",79629.2,276456.3,0,38.25,38.25,2184.40712784887,54.65639,0,0,83553.5726402193,4352244.610588,0,0,4352244.610588
"1467",2042,"Hydro","Reference",79512.1,282549.9,0,0,0,2184.40712784887,54.65639,0,0,0,4345844.347319,0,0,4345844.347319
"1468",2042,"Nuclear","95% by 2035",92091.6,731456.96,0,0,0,6277.45423927616,144.97233201581,2.35177865612648,7.4625145256917,0,13350734.0110672,1720224.86640316,5458508.18891829,20529467.0663886
"1469",2042,"Nuclear","95% by 2050",92091.6,733840.8,0,0,0,6277.45423927616,144.97233201581,2.35177865612648,7.4625145256917,0,13350734.0110672,1725831.13043478,5476297.62954522,20552862.7710472
"1470",2042,"Nuclear","Reference",92091.6,735352.64,0,0,0,6277.45423927616,144.97233201581,2.35177865612648,7.4625145256917,0,13350734.0110672,1729386.64347826,5487579.75750574,20567700.4120512
"1471",2042,"PHS","95% by 2050",36452.4,37370.004,0,896.150000000001,896.150000000001,0,17.6,0.5063,0,0,641562.24,18920.4330252,0,660482.6730252
"1472",2042,"PHS","95% by 2035",47836.2,42688.184,0,333.899999999994,333.899999999994,0,17.6,0.5063,0,0,841917.12,21613.0275592,0,863530.1475592
"1473",2042,"PHS","Reference",35637.4,26463.108,0,427.349999999999,427.349999999999,0,17.6,0.5063,0,0,627218.24,13398.2715804,0,640616.5115804
"1474",2042,"PV dist","95% by 2050",118489.8,163823.4,252,2739.3,2991.3,621.844120548129,9.69682888541221,0,0,1860122.31779562,1148975.31526672,0,0,1148975.31526672
"1475",2042,"PV dist","95% by 2035",118489.8,159156.75,252,2739.3,2991.3,621.844120548129,9.69682888541221,0,0,1860122.31779562,1148975.31526672,0,0,1148975.31526672
"1476",2042,"PV dist","Reference",118489.8,164618.13,252,2739.3,2991.3,621.844120548129,9.69682888541221,0,0,1860122.31779562,1148975.31526672,0,0,1148975.31526672
"1477",2042,"PV utility","95% by 2050",381278.9,831664.64,1398.70842183795,20483.3,21882.008421838,543.524165328961,13.4328874510203,0,0,11893400.3632008,5121676.55114882,0,0,5121676.55114882
"1478",2042,"PV utility","95% by 2035",618974.7,1293825.4,1983.27462804633,4551.34999999998,6534.62462804631,543.524165328961,13.4328874510203,0,0,3551726.39669694,8314617.48012905,0,0,8314617.48012905
"1479",2042,"PV utility","Reference",286932.2,641231.04,1153.16109432583,9907.25,11060.4110943258,543.524165328961,13.4328874510203,0,0,6011600.70823863,3854327.94867365,0,0,3854327.94867365
"1480",2042,"Wind off","95% by 2050",31331,115829.61,0,0,0,1703.09578637357,65.4063971178635,0,0,0,2049247.82809978,0,0,2049247.82809978
"1481",2042,"Wind off","Reference",31331,116578.74,0,0,0,1703.09578637357,65.4063971178635,0,0,0,2049247.82809978,0,0,2049247.82809978
"1482",2042,"Wind off","95% by 2035",31331,112511.36,0,0,0,1703.09578637357,65.4063971178635,0,0,0,2049247.82809978,0,0,2049247.82809978
"1483",2042,"Wind on","95% by 2050",332229.4,1231748.1,9856.5,21514.5,31371,595,28.1916,0,0,18665745,9366078.35304,0,0,9366078.35304
"1484",2042,"Wind on","Reference",224256.1,855500.1,9856.5,3222.89999999999,13079.4,595,28.1916,0,0,7782243,6322138.26876,0,0,6322138.26876
"1485",2042,"Wind on","95% by 2035",534968.4,1873140,9856.5,9893.20000000007,19749.7000000001,595,28.1916,0,0,11751071.5,15081615.14544,0,0,15081615.14544
"1486",2043,"Batteries","95% by 2050",115186.65,184921.12,1405.68997775959,16366.85,17772.5399777596,423.7662,10.594155,0,0,7531401.73072326,1220305.22403075,0,0,1220305.22403075
"1487",2043,"Batteries","Reference",93615.25,127892.74,1545.43942845081,5373.45,6918.88942845081,423.7662,10.594155,0,0,2931991.48131477,991774.46886375,0,0,991774.46886375
"1488",2043,"Batteries","95% by 2035",220800.95,326547.565,1075.20207339925,7536.95000000001,8612.15207339926,423.7662,10.594155,0,0,3649538.95796653,2339199.48844725,0,0,2339199.48844725
"1489",2043,"Biomass","Reference",3009,17018.5545,106.3,-117.5,0,3787.48844042892,149.833992094862,4.79249011857707,3.19246619489232,0,450850.48221344,81561.2542737153,54331.1599271826,586742.896414338
"1490",2043,"Biomass","95% by 2050",3009,16255.2835,106.3,-117.5,0,3787.48844042892,149.833992094862,4.79249011857707,3.19246619489232,0,450850.48221344,77903.2855484189,51894.4430621409,580648.210824
"1491",2043,"Biomass","95% by 2035",5620.7,33974.9375,106.3,-117.5,0,3787.48844042892,149.833992094862,4.79249011857707,3.19246619489232,0,842171.919367591,162824.552248024,108463.839442329,1113460.31105794
"1492",2043,"Coal","95% by 2035",28463.15,0,481.85,-508.849999999999,0,2447.5001158264,64.5,6.84,4.85716269518551,0,1835873.175,0,0,1835873.175
"1493",2043,"Coal","95% by 2050",134435.2,50958.408,4543.84831343183,-4308.09999999998,235.748313431854,2447.5001158264,64.5,6.84,4.85716269518551,576994.02443034,8671070.4,348555.51072,247513.278343643,9267139.18906364
"1494",2043,"Coal","Reference",135565,481026.625,3400,-3476.89999999999,0,2447.5001158264,64.5,6.84,4.85716269518551,0,8743942.5,3290222.115,2336424.57834099,14370589.193341
"1495",2043,"CSP","95% by 2035",469.5,963.7359,469.5,-469.5,0,2982.13617418137,38.977,2.8854875,0,0,18299.7015,2780.84789275125,0,21080.5493927513
"1496",2043,"CSP","95% by 2050",469.5,968.7639,469.5,-469.5,0,2982.13617418137,38.977,2.8854875,0,0,18299.7015,2795.35612390125,0,21095.0576239012
"1497",2043,"CSP","Reference",469.5,975.6889,469.5,-469.5,0,2982.13617418137,38.977,2.8854875,0,0,18299.7015,2815.33812483875,0,21115.0396248387
