"U.S. Emissions, Electricity Generation, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fossil fuel combustion: carbon dioxide,1819.950589,1817.358684,1830.687959,1906.172074,1930.468474,1947.173238,2020.242971,2087.519803,2176.554625,2189.665823,2296.171671,2257.203683,2272.227098,2303.678379,2335.082662,2400.057486,2344.395535,2411.137319,2359.332092,2145.345901,2258.638992,2158.067141,2023.255817,2038.270128,2037.165849,1900.63779,1808.871516,1732.032718,1752.936481,1606.105914,1438.990159
Fossil fuel combustion: other greenhouse gases,20.93235949,20.8961398,21.05262903,21.94929362,22.39027327,22.58873506,23.18558955,23.74409541,24.48448251,24.54775622,25.92715343,25.79333178,27.13429923,28.34743985,29.55602108,30.92847192,30.71495101,31.22223974,30.95260662,28.81692772,31.10553713,29.86717136,27.62242542,29.65592157,29.94135158,27.68666185,27.36981901,25.85419601,25.61287692,22.34425335,20.96913862
Incineration of waste,13.39308204,11.58013258,13.45740626,13.41637627,14.50864402,14.8080193,14.99016685,14.1781134,13.19832609,12.70469055,13.44178399,13.41001756,13.44287295,13.58819633,13.66505634,13.67005123,14.79335226,14.68052828,14.34411722,13.88637019,13.24276461,13.15095509,13.80879464,14.55675689,14.47758651,14.58628549,14.78199189,13.57043308,13.75666052,13.35096678,13.5285655
Other electricity generation categories,26.272187500999998,24.998037525,24.905642441,24.036743604,22.932810989,22.307487255,21.015499458999997,19.461564802999998,17.208851234,17.91882379,15.585076384,14.979991641,13.955178561,12.338268229,12.464874355,12.081081023,11.327545280999999,10.186151694,9.486129822,10.224122955,10.969698847,10.682015305,9.098582831,9.860377069,10.948013173,9.815015423999998,9.474665231,9.094682752,7.52062938,9.160363892,8.695001699999999
Total,1880.548218031,1874.832993905,1890.103636731,1965.574487494,1990.3002022790001,2006.8774796150003,2079.434226859,2144.903576613,2231.4462848340004,2244.8370935599996,2351.1256848040002,2311.3870239810003,2326.759448741,2357.952283409,2390.7686137749997,2456.737090173,2401.231383551,2467.226238714,2414.114945662,2198.273321865,2313.956992587,2211.767282755,2073.785619891,2092.3431835290003,2092.5328002630004,1952.725752764,1860.4979921309998,1780.5520298419997,1799.8266478199998,1650.961498022,1482.1828648199998
