"","years","technology","scenario","capacity"
"625",2040,"PV dist","Reference",113011.2
"626",2042,"PV dist","Reference",118489.8
"627",2044,"PV dist","Reference",124973.2
"628",2046,"PV dist","Reference",130799.6
"629",2048,"PV dist","Reference",136507.8
"630",2050,"PV dist","Reference",143228.2
"631",2022,"PV utility","Reference",70957.7
"632",2024,"PV utility","Reference",81206.7
"633",2026,"PV utility","Reference",113991.9
"634",2028,"PV utility","Reference",140929.4
"635",2030,"PV utility","Reference",205546.3
"636",2032,"PV utility","Reference",215876.2
"637",2034,"PV utility","Reference",236427.7
"638",2036,"PV utility","Reference",245997.6
"639",2038,"PV utility","Reference",259345.1
"640",2040,"PV utility","Reference",267117.7
"641",2042,"PV utility","Reference",286932.2
"642",2044,"PV utility","Reference",303061.8
"643",2046,"PV utility","Reference",326840.3
"644",2048,"PV utility","Reference",343096.8
"645",2050,"PV utility","Reference",373532.8
"646",2022,"Wind off","Reference",74.4
"647",2024,"Wind off","Reference",5633
"648",2026,"Wind off","Reference",11177
"649",2028,"Wind off","Reference",15945
"650",2030,"Wind off","Reference",18837
"651",2032,"Wind off","Reference",23331
"652",2034,"Wind off","Reference",28131
"653",2036,"Wind off","Reference",31331
"654",2038,"Wind off","Reference",31331
"655",2040,"Wind off","Reference",31331
"656",2042,"Wind off","Reference",31331
"657",2044,"Wind off","Reference",31331
"658",2046,"Wind off","Reference",31331
"659",2048,"Wind off","Reference",31331
"660",2050,"Wind off","Reference",31331
"661",2022,"Wind on","Reference",146118.1
"662",2024,"Wind on","Reference",158152.8
"663",2026,"Wind on","Reference",167502.1
"664",2028,"Wind on","Reference",169322.1
"665",2030,"Wind on","Reference",175275.7
"666",2032,"Wind on","Reference",176620.5
"667",2034,"Wind on","Reference",191668.4
"668",2036,"Wind on","Reference",204280.6
"669",2038,"Wind on","Reference",214661.8
"670",2040,"Wind on","Reference",217810.3
"671",2042,"Wind on","Reference",224256.1
"672",2044,"Wind on","Reference",239933.7
"673",2046,"Wind on","Reference",256445.3
"674",2048,"Wind on","Reference",268080.1
"675",2050,"Wind on","Reference",304267.3
