"","years","technology","scenario","generation"
"616",2022,"PV dist","Reference",48699.864
"617",2024,"PV dist","Reference",54604.172
"618",2026,"PV dist","Reference",63705.676
"619",2028,"PV dist","Reference",77543.18
"620",2030,"PV dist","Reference",98506.424
"621",2032,"PV dist","Reference",118143.4
"622",2034,"PV dist","Reference",129919.54
"623",2036,"PV dist","Reference",141015.58
"624",2038,"PV dist","Reference",150191.23
"625",2040,"PV dist","Reference",158469.82
"626",2042,"PV dist","Reference",164618.13
"627",2044,"PV dist","Reference",172416.05
"628",2046,"PV dist","Reference",178707.47
"629",2048,"PV dist","Reference",185123.73
"630",2050,"PV dist","Reference",192535.2
"631",2022,"PV utility","Reference",168559.74
"632",2024,"PV utility","Reference",190700.9
"633",2026,"PV utility","Reference",269855.7
"634",2028,"PV utility","Reference",329080.48
"635",2030,"PV utility","Reference",482664.77
"636",2032,"PV utility","Reference",503600.06
"637",2034,"PV utility","Reference",547370.3
"638",2036,"PV utility","Reference",565742.7
"639",2038,"PV utility","Reference",588157.76
"640",2040,"PV utility","Reference",601607.23
"641",2042,"PV utility","Reference",641231.04
"642",2044,"PV utility","Reference",675138.9
"643",2046,"PV utility","Reference",725562.9
"644",2048,"PV utility","Reference",762794.1
"645",2050,"PV utility","Reference",833807.04
"646",2022,"Wind off","Reference",274.187
"647",2024,"Wind off","Reference",21912.164
"648",2026,"Wind off","Reference",43222.22
"649",2028,"Wind off","Reference",60542.25
"650",2030,"Wind off","Reference",71593.68
"651",2032,"Wind off","Reference",88244.29
"652",2034,"Wind off","Reference",104919.416
"653",2036,"Wind off","Reference",117970.7
"654",2038,"Wind off","Reference",117548.95
"655",2040,"Wind off","Reference",117114.536
"656",2042,"Wind off","Reference",116578.74
"657",2044,"Wind off","Reference",116018.03
"658",2046,"Wind off","Reference",115429.35
"659",2048,"Wind off","Reference",114864.49
"660",2050,"Wind off","Reference",114128.94
"661",2022,"Wind on","Reference",488319.5
"662",2024,"Wind on","Reference",537121.7
"663",2026,"Wind on","Reference",577440.45
"664",2028,"Wind on","Reference",587935.1
"665",2030,"Wind on","Reference",613107.3
"666",2032,"Wind on","Reference",622804.1
"667",2034,"Wind on","Reference",679227.26
"668",2036,"Wind on","Reference",733354
"669",2038,"Wind on","Reference",779186.2
"670",2040,"Wind on","Reference",820741.5
"671",2042,"Wind on","Reference",855500.1
"672",2044,"Wind on","Reference",916659.4
"673",2046,"Wind on","Reference",986629.1
"674",2048,"Wind on","Reference",1039212.74
"675",2050,"Wind on","Reference",1177757.6
