"Dim1","Dim2","Dim3","Dim4","Val"
"p3","p14","2034","AC",8360
"p3","p14","2036","AC",8360
"p3","p14","2038","AC",8360
"p3","p14","2040","AC",8360
"p3","p14","2042","AC",8360
"p3","p14","2044","AC",8360
"p3","p14","2046","AC",8360
"p3","p14","2048","AC",8360
"p3","p14","2050","AC",8360
"p3","p17","2010","AC",2843
"p3","p17","2012","AC",2843
"p3","p17","2014","AC",2843
"p3","p17","2016","AC",2843
"p3","p17","2018","AC",2843
"p3","p17","2020","AC",2843
"p3","p17","2022","AC",2843
"p3","p17","2024","AC",2843
"p3","p17","2026","AC",2843
"p3","p17","2028","AC",2843
"p3","p17","2030","AC",2843.16788569902
"p3","p17","2032","AC",2843.74545569902
"p3","p17","2034","AC",2844.04327479917
"p3","p17","2036","AC",2844.09177479917
"p3","p17","2038","AC",2844.09177479917
"p3","p17","2040","AC",2844.09177479917
"p3","p17","2042","AC",2844.09199022144
"p3","p17","2044","AC",2875.07350137809
"p3","p17","2046","AC",2876.43804691742
"p3","p17","2048","AC",2877.30085327451
"p3","p17","2050","AC",3007.41520511061
"p5","p6","2010","AC",3809
"p5","p6","2012","AC",3809
"p5","p6","2014","AC",3809
"p5","p6","2016","AC",3809
"p5","p6","2018","AC",3809
"p5","p6","2020","AC",3809
"p5","p6","2022","AC",3809
"p5","p6","2024","AC",3809
"p5","p6","2026","AC",3809
"p5","p6","2028","AC",3828.21903513575
"p5","p6","2030","AC",3830.16953543771
"p5","p6","2032","AC",3863.08128684319
"p5","p6","2034","AC",3863.3181585524
"p5","p6","2036","AC",3989.09687632926
"p5","p6","2038","AC",4074.87000706284
"p5","p6","2040","AC",4335.71214362889
"p5","p6","2042","AC",4368.33285865664
"p5","p6","2044","AC",4484.79191197434
"p5","p6","2046","AC",4901.7275106414
"p5","p6","2048","AC",4998.46263703914
"p5","p6","2050","AC",5078.99199642979
"p5","p7","2010","AC",1778
"p5","p7","2012","AC",1778
"p5","p7","2014","AC",1778
"p5","p7","2016","AC",1778
"p5","p7","2018","AC",1778
"p5","p7","2020","AC",3752
"p5","p7","2022","AC",3752
"p5","p7","2024","AC",3752
"p5","p7","2026","AC",3752
"p5","p7","2028","AC",3752
"p5","p7","2030","AC",3752
"p5","p7","2032","AC",3752.00958740409
"p5","p7","2034","AC",3752.00958740409
"p5","p7","2036","AC",3752.00958740409
"p5","p7","2038","AC",3752.00958740409
"p5","p7","2040","AC",3752.00958740409
"p5","p7","2042","AC",3752.00958740409
"p5","p7","2044","AC",3752.00958740409
"p5","p7","2046","AC",3752.11586274607
"p5","p7","2048","AC",3752.17263963723
"p5","p7","2050","AC",3752.17263963723
"p5","p10","2010","DC",2780
"p5","p10","2012","DC",2780
"p5","p10","2014","DC",2780
"p5","p10","2016","DC",2780
"p5","p10","2018","DC",2780
"p5","p10","2020","DC",2780
"p5","p10","2022","DC",2780
"p5","p10","2024","DC",2780
"p5","p10","2026","DC",2780
"p5","p10","2028","DC",2780
"p5","p10","2030","DC",2781.35372810111
"p5","p10","2032","DC",2825.64316108815
