"Dim1","Dim2","Dim3","Dim4","Val"
"p3","p14","2046","AC",8360
"p3","p14","2048","AC",8360
"p3","p14","2050","AC",8363.17836872915
"p3","p17","2010","AC",2843
"p3","p17","2012","AC",2843
"p3","p17","2014","AC",2843
"p3","p17","2016","AC",2843
"p3","p17","2018","AC",2843
"p3","p17","2020","AC",2843
"p3","p17","2022","AC",2843
"p3","p17","2024","AC",2843
"p3","p17","2026","AC",2843
"p3","p17","2028","AC",2843
"p3","p17","2030","AC",2843
"p3","p17","2032","AC",2843
"p3","p17","2034","AC",2843
"p3","p17","2036","AC",2843
"p3","p17","2038","AC",2843
"p3","p17","2040","AC",2843
"p3","p17","2042","AC",2843
"p3","p17","2044","AC",2843.07299222602
"p3","p17","2046","AC",2843.07641124163
"p3","p17","2048","AC",2846.24196187408
"p3","p17","2050","AC",2891.57644416835
"p5","p6","2010","AC",3809
"p5","p6","2012","AC",3809
"p5","p6","2014","AC",3809
"p5","p6","2016","AC",3809
"p5","p6","2018","AC",3809
"p5","p6","2020","AC",3809
"p5","p6","2022","AC",3809
"p5","p6","2024","AC",3809
"p5","p6","2026","AC",3809
"p5","p6","2028","AC",3809.80642204805
"p5","p6","2030","AC",3853.45999205468
"p5","p6","2032","AC",3854.93996896176
"p5","p6","2034","AC",3854.97896896176
"p5","p6","2036","AC",3855.42241720596
"p5","p6","2038","AC",3926.51509513544
"p5","p6","2040","AC",3926.66266760077
"p5","p6","2042","AC",4180.61500145753
"p5","p6","2044","AC",4455.57873325002
"p5","p6","2046","AC",4498.58768205954
"p5","p6","2048","AC",4543.12603040699
"p5","p6","2050","AC",4742.32783677835
"p5","p7","2010","AC",1778
"p5","p7","2012","AC",1778
"p5","p7","2014","AC",1778
"p5","p7","2016","AC",1778
"p5","p7","2018","AC",1778
"p5","p7","2020","AC",3752
"p5","p7","2022","AC",3752
"p5","p7","2024","AC",3752
"p5","p7","2026","AC",3752
"p5","p7","2028","AC",3752
"p5","p7","2030","AC",3752
"p5","p7","2032","AC",3752
"p5","p7","2034","AC",3752
"p5","p7","2036","AC",3752
"p5","p7","2038","AC",3752
"p5","p7","2040","AC",3752
"p5","p7","2042","AC",3752
"p5","p7","2044","AC",3752
"p5","p7","2046","AC",3752
"p5","p7","2048","AC",3752.40797910864
"p5","p7","2050","AC",3757.00954313419
"p5","p10","2010","DC",2780
"p5","p10","2012","DC",2780
"p5","p10","2014","DC",2780
"p5","p10","2016","DC",2780
"p5","p10","2018","DC",2780
"p5","p10","2020","DC",2780
"p5","p10","2022","DC",2780
"p5","p10","2024","DC",2780
"p5","p10","2026","DC",2780
"p5","p10","2028","DC",2780
"p5","p10","2030","DC",2780
"p5","p10","2032","DC",2780
"p5","p10","2034","DC",2780.397
"p5","p10","2036","DC",2780.65167767296
"p5","p10","2038","DC",2808.8357073268
"p5","p10","2040","DC",2827.4114182398
"p5","p10","2042","DC",2880.83114925082
"p5","p10","2044","DC",3377.72331292955
"p5","p10","2046","DC",3924.74969388879
"p5","p10","2048","DC",4685.2922665639
"p5","p10","2050","DC",4976.58664383204
"p5","p14","2010","AC",352
"p5","p14","2012","AC",352
"p5","p14","2014","AC",352
"p5","p14","2016","AC",352
"p5","p14","2018","AC",352
"p5","p14","2020","AC",352
"p5","p14","2022","AC",352
"p5","p14","2024","AC",352
"p5","p14","2026","AC",352
"p5","p14","2028","AC",352
"p5","p14","2030","AC",352
"p5","p14","2032","AC",352
"p5","p14","2034","AC",352
"p5","p14","2036","AC",352
"p5","p14","2038","AC",352
"p5","p14","2040","AC",352
"p5","p14","2042","AC",352
"p5","p14","2044","AC",352
"p5","p14","2046","AC",352
"p5","p14","2048","AC",352
"p5","p14","2050","AC",352
"p5","p15","2010","AC",478
"p5","p15","2012","AC",478
"p5","p15","2014","AC",478
"p5","p15","2016","AC",478
"p5","p15","2018","AC",478
"p5","p15","2020","AC",478
"p5","p15","2022","AC",478
"p5","p15","2024","AC",478
"p5","p15","2026","AC",478
"p5","p15","2028","AC",478
"p5","p15","2030","AC",478
"p5","p15","2032","AC",478
"p5","p15","2034","AC",478
"p5","p15","2036","AC",478
"p5","p15","2038","AC",478
"p5","p15","2040","AC",478
"p5","p15","2042","AC",478
"p5","p15","2044","AC",478
"p5","p15","2046","AC",478
"p5","p15","2048","AC",478
"p5","p15","2050","AC",478
"p6","p7","2010","AC",797
"p6","p7","2012","AC",797
"p6","p7","2014","AC",797
"p6","p7","2016","AC",797
"p6","p7","2018","AC",797
"p6","p7","2020","AC",797
"p6","p7","2022","AC",797
"p6","p7","2024","AC",797
"p6","p7","2026","AC",797
"p6","p7","2028","AC",797
"p6","p7","2030","AC",797
"p6","p7","2032","AC",797
"p6","p7","2034","AC",797
"p6","p7","2036","AC",797
"p6","p7","2038","AC",797
"p6","p7","2040","AC",797
"p6","p7","2042","AC",797
"p6","p7","2044","AC",797
"p6","p7","2046","AC",797
"p6","p7","2048","AC",797
"p6","p7","2050","AC",797
"p6","p8","2010","AC",1939
"p6","p8","2012","AC",1939
"p6","p8","2014","AC",1939
"p6","p8","2016","AC",1939
"p6","p8","2018","AC",1939
"p6","p8","2020","AC",1939
"p6","p8","2022","AC",1939
"p6","p8","2024","AC",1939
"p6","p8","2026","AC",1939
"p6","p8","2028","AC",1947.86178074783
"p6","p8","2030","AC",2091.45905050649
"p6","p8","2032","AC",2094.74874723714
"p6","p8","2034","AC",2094.74874723714
"p6","p8","2036","AC",2095.64704748213
"p6","p8","2038","AC",2198.82945376585
"p6","p8","2040","AC",2198.82945376585
"p6","p8","2042","AC",2658.6112677624
"p6","p8","2044","AC",3047.3389995549
"p6","p8","2046","AC",3125.45708829741
"p6","p8","2048","AC",3194.81612004459
"p6","p8","2050","AC",3217.62449359318
"p6","p9","2010","AC",2366.881
"p6","p9","2012","AC",2366.881
"p6","p9","2014","AC",2366.881
"p6","p9","2016","AC",2366.881
"p6","p9","2018","AC",2366.881
"p6","p9","2020","AC",2366.881
"p6","p9","2022","AC",2366.881
"p6","p9","2024","AC",2366.881
"p6","p9","2026","AC",2366.881
"p6","p9","2028","AC",2366.881
"p6","p9","2030","AC",2366.881
"p6","p9","2032","AC",2366.881
"p6","p9","2034","AC",2366.881
"p6","p9","2036","AC",2366.881
"p6","p9","2038","AC",2366.881
"p6","p9","2040","AC",2366.881
"p6","p9","2042","AC",2366.881
"p6","p9","2044","AC",2366.881
"p6","p9","2046","AC",2366.881
"p6","p9","2048","AC",2366.881
"p6","p9","2050","AC",2366.881
"p7","p8","2010","AC",50
"p7","p8","2012","AC",50
"p7","p8","2014","AC",50
"p7","p8","2016","AC",50
"p7","p8","2018","AC",50
"p7","p8","2020","AC",50
"p7","p8","2022","AC",50
"p7","p8","2024","AC",50
"p7","p8","2026","AC",50
"p7","p8","2028","AC",50
"p7","p8","2030","AC",50
"p7","p8","2032","AC",50
"p7","p8","2034","AC",50
"p7","p8","2036","AC",50
"p7","p8","2038","AC",50
"p7","p8","2040","AC",50
"p7","p8","2042","AC",50
"p7","p8","2044","AC",50
"p7","p8","2046","AC",50
"p7","p8","2048","AC",50
"p7","p8","2050","AC",50
"p7","p12","2010","AC",1
"p7","p12","2012","AC",1
"p7","p12","2014","AC",1
"p7","p12","2016","AC",1
"p7","p12","2018","AC",1
"p7","p12","2020","AC",1
"p7","p12","2022","AC",1
"p7","p12","2024","AC",1
"p7","p12","2026","AC",1
"p7","p12","2028","AC",1
"p7","p12","2030","AC",1
"p7","p12","2032","AC",1
"p7","p12","2034","AC",1
"p7","p12","2036","AC",1
"p7","p12","2038","AC",1
"p7","p12","2040","AC",1
"p7","p12","2042","AC",1
