"Dim1","Dim2","Dim3","Dim4","Val"
"p3","p14","2048","AC",8360
"p3","p14","2050","AC",8360
"p3","p17","2010","AC",2843
"p3","p17","2012","AC",2843
"p3","p17","2014","AC",2843
"p3","p17","2016","AC",2843
"p3","p17","2018","AC",2843
"p3","p17","2020","AC",2843
"p3","p17","2022","AC",2843
"p3","p17","2024","AC",2843
"p3","p17","2026","AC",2843
"p3","p17","2028","AC",2843
"p3","p17","2030","AC",2843
"p3","p17","2032","AC",2843
"p3","p17","2034","AC",2843
"p3","p17","2036","AC",2843
"p3","p17","2038","AC",2843
"p3","p17","2040","AC",2843
"p3","p17","2042","AC",2843
"p3","p17","2044","AC",2843.60806039702
"p3","p17","2046","AC",2847.30222554505
"p3","p17","2048","AC",2847.30222554505
"p3","p17","2050","AC",2847.30222554505
"p5","p6","2010","AC",3809
"p5","p6","2012","AC",3809
"p5","p6","2014","AC",3809
"p5","p6","2016","AC",3809
"p5","p6","2018","AC",3809
"p5","p6","2020","AC",3809
"p5","p6","2022","AC",3809
"p5","p6","2024","AC",3809
"p5","p6","2026","AC",3809
"p5","p6","2028","AC",3809.93850729152
"p5","p6","2030","AC",3811.09463756074
"p5","p6","2032","AC",3815.17752605398
"p5","p6","2034","AC",3815.19652605398
"p5","p6","2036","AC",3815.22852605398
"p5","p6","2038","AC",3815.38659289039
"p5","p6","2040","AC",3815.68709094363
"p5","p6","2042","AC",3885.23388173227
"p5","p6","2044","AC",3979.57013456246
"p5","p6","2046","AC",4057.85520049652
"p5","p6","2048","AC",4151.01210595697
"p5","p6","2050","AC",4479.12964122053
"p5","p7","2010","AC",1778
"p5","p7","2012","AC",1778
"p5","p7","2014","AC",1778
"p5","p7","2016","AC",1778
"p5","p7","2018","AC",1778
"p5","p7","2020","AC",3752
"p5","p7","2022","AC",3752
"p5","p7","2024","AC",3752
"p5","p7","2026","AC",3752
"p5","p7","2028","AC",3752
"p5","p7","2030","AC",3752
"p5","p7","2032","AC",3752
"p5","p7","2034","AC",3752
"p5","p7","2036","AC",3752
"p5","p7","2038","AC",3752
"p5","p7","2040","AC",3752
"p5","p7","2042","AC",3752
"p5","p7","2044","AC",3752
"p5","p7","2046","AC",3752
"p5","p7","2048","AC",3752
"p5","p7","2050","AC",3752
"p5","p10","2010","DC",2780
"p5","p10","2012","DC",2780
"p5","p10","2014","DC",2780
"p5","p10","2016","DC",2780
"p5","p10","2018","DC",2780
"p5","p10","2020","DC",2780
"p5","p10","2022","DC",2780
"p5","p10","2024","DC",2780
"p5","p10","2026","DC",2780
"p5","p10","2028","DC",2780
"p5","p10","2030","DC",2780
"p5","p10","2032","DC",2780.352
"p5","p10","2034","DC",2782.62059395662
"p5","p10","2036","DC",2794.92987678163
"p5","p10","2038","DC",2838.08404349631
"p5","p10","2040","DC",2875.29001683649
"p5","p10","2042","DC",2895.2569663187
"p5","p10","2044","DC",2924.98652802944
"p5","p10","2046","DC",3126.77085360296
"p5","p10","2048","DC",3176.36486754856
"p5","p10","2050","DC",3208.92868148037
"p5","p14","2010","AC",352
"p5","p14","2012","AC",352
"p5","p14","2014","AC",352
"p5","p14","2016","AC",352
"p5","p14","2018","AC",352
"p5","p14","2020","AC",352
"p5","p14","2022","AC",352
"p5","p14","2024","AC",352
"p5","p14","2026","AC",352
"p5","p14","2028","AC",352
"p5","p14","2030","AC",352
"p5","p14","2032","AC",352
"p5","p14","2034","AC",352
"p5","p14","2036","AC",352
"p5","p14","2038","AC",352
"p5","p14","2040","AC",352
"p5","p14","2042","AC",352
"p5","p14","2044","AC",352
"p5","p14","2046","AC",352
"p5","p14","2048","AC",352
"p5","p14","2050","AC",352
"p5","p15","2010","AC",478
"p5","p15","2012","AC",478
"p5","p15","2014","AC",478
"p5","p15","2016","AC",478
"p5","p15","2018","AC",478
"p5","p15","2020","AC",478
"p5","p15","2022","AC",478
"p5","p15","2024","AC",478
"p5","p15","2026","AC",478
"p5","p15","2028","AC",478
"p5","p15","2030","AC",478
"p5","p15","2032","AC",478
