"Dim1","Dim2","Dim3","Dim4","Val"
"p3","p17","2014","AC",2843
"p3","p17","2016","AC",2843
"p3","p17","2018","AC",2843
"p3","p17","2020","AC",2843
"p3","p17","2022","AC",2843
"p3","p17","2024","AC",2843
"p3","p17","2026","AC",2843
"p3","p17","2028","AC",2843
"p3","p17","2030","AC",2843
"p3","p17","2032","AC",2843
"p3","p17","2034","AC",2843
"p3","p17","2036","AC",2843
"p3","p17","2038","AC",2843
"p3","p17","2040","AC",2843
"p3","p17","2042","AC",2843
"p3","p17","2044","AC",2843
"p3","p17","2046","AC",2843
"p3","p17","2048","AC",2843
"p3","p17","2050","AC",2843
"p5","p6","2010","AC",3809
"p5","p6","2012","AC",3809
"p5","p6","2014","AC",3809
"p5","p6","2016","AC",3809
"p5","p6","2018","AC",3809
"p5","p6","2020","AC",3809
"p5","p6","2022","AC",3809
"p5","p6","2024","AC",3809
"p5","p6","2026","AC",3809
"p5","p6","2028","AC",3809
"p5","p6","2030","AC",3809.13356389578
"p5","p6","2032","AC",3809.13356389578
"p5","p6","2034","AC",3809.14056389578
"p5","p6","2036","AC",3809.197021862
"p5","p6","2038","AC",3809.197021862
"p5","p6","2040","AC",3809.197021862
"p5","p6","2042","AC",3828.58430977558
"p5","p6","2044","AC",3927.50291531926
"p5","p6","2046","AC",4031.09943530599
"p5","p6","2048","AC",4113.90613566584
"p5","p6","2050","AC",4190.10160983558
"p5","p7","2010","AC",1778
"p5","p7","2012","AC",1778
"p5","p7","2014","AC",1778
"p5","p7","2016","AC",1778
"p5","p7","2018","AC",1778
"p5","p7","2020","AC",3752
"p5","p7","2022","AC",3752
"p5","p7","2024","AC",3752
"p5","p7","2026","AC",3752
"p5","p7","2028","AC",3752
"p5","p7","2030","AC",3752
"p5","p7","2032","AC",3752
"p5","p7","2034","AC",3752
"p5","p7","2036","AC",3752
"p5","p7","2038","AC",3752
"p5","p7","2040","AC",3752
"p5","p7","2042","AC",3752
"p5","p7","2044","AC",3752
"p5","p7","2046","AC",3752
"p5","p7","2048","AC",3752
"p5","p7","2050","AC",3752
"p5","p10","2010","DC",2780
"p5","p10","2012","DC",2780
"p5","p10","2014","DC",2780
"p5","p10","2016","DC",2780
"p5","p10","2018","DC",2780
"p5","p10","2020","DC",2780
"p5","p10","2022","DC",2780
"p5","p10","2024","DC",2780
"p5","p10","2026","DC",2780
"p5","p10","2028","DC",2780
"p5","p10","2030","DC",2780
"p5","p10","2032","DC",2780
"p5","p10","2034","DC",2780
"p5","p10","2036","DC",2780
"p5","p10","2038","DC",2780
"p5","p10","2040","DC",2780
"p5","p10","2042","DC",2780
"p5","p10","2044","DC",2780
"p5","p10","2046","DC",2780
"p5","p10","2048","DC",2780
"p5","p10","2050","DC",2780
"p5","p14","2010","AC",352
"p5","p14","2012","AC",352
"p5","p14","2014","AC",352
"p5","p14","2016","AC",352
"p5","p14","2018","AC",352
"p5","p14","2020","AC",352
"p5","p14","2022","AC",352
"p5","p14","2024","AC",352
"p5","p14","2026","AC",352
"p5","p14","2028","AC",352
"p5","p14","2030","AC",352
"p5","p14","2032","AC",352
"p5","p14","2034","AC",352
"p5","p14","2036","AC",352
"p5","p14","2038","AC",352
"p5","p14","2040","AC",352
"p5","p14","2042","AC",352
"p5","p14","2044","AC",352
"p5","p14","2046","AC",352
"p5","p14","2048","AC",352
"p5","p14","2050","AC",352
"p5","p15","2010","AC",478
"p5","p15","2012","AC",478
"p5","p15","2014","AC",478
"p5","p15","2016","AC",478
"p5","p15","2018","AC",478
"p5","p15","2020","AC",478
"p5","p15","2022","AC",478
"p5","p15","2024","AC",478
"p5","p15","2026","AC",478
"p5","p15","2028","AC",478
"p5","p15","2030","AC",478
"p5","p15","2032","AC",478
"p5","p15","2034","AC",478
"p5","p15","2036","AC",478
"p5","p15","2038","AC",478
"p5","p15","2040","AC",478
"p5","p15","2042","AC",478
"p5","p15","2044","AC",478
"p5","p15","2046","AC",478
"p5","p15","2048","AC",478
"p5","p15","2050","AC",478
"p6","p7","2010","AC",797
"p6","p7","2012","AC",797
"p6","p7","2014","AC",797
"p6","p7","2016","AC",797
"p6","p7","2018","AC",797
"p6","p7","2020","AC",797
"p6","p7","2022","AC",797
"p6","p7","2024","AC",797
"p6","p7","2026","AC",797
"p6","p7","2028","AC",797
"p6","p7","2030","AC",797
"p6","p7","2032","AC",797
"p6","p7","2034","AC",797
"p6","p7","2036","AC",797
"p6","p7","2038","AC",797
"p6","p7","2040","AC",797
"p6","p7","2042","AC",797
"p6","p7","2044","AC",797
"p6","p7","2046","AC",797
"p6","p7","2048","AC",797
"p6","p7","2050","AC",797
"p6","p8","2010","AC",1939
"p6","p8","2012","AC",1939
"p6","p8","2014","AC",1939
"p6","p8","2016","AC",1939
"p6","p8","2018","AC",1939
"p6","p8","2020","AC",1939
"p6","p8","2022","AC",1939
"p6","p8","2024","AC",1939
"p6","p8","2026","AC",1939
"p6","p8","2028","AC",1939
"p6","p8","2030","AC",1939.17928039702
"p6","p8","2032","AC",1939.17928039702
"p6","p8","2034","AC",1939.17928039702
"p6","p8","2036","AC",1939.17928039702
"p6","p8","2038","AC",1939.17928039702
"p6","p8","2040","AC",1939.17928039702
"p6","p8","2042","AC",2124.92243341225
"p6","p8","2044","AC",2706.97649872127
"p6","p8","2046","AC",3373.37095559418
"p6","p8","2048","AC",3785.34458922525
"p6","p8","2050","AC",4180.13979217728
"p6","p9","2010","AC",2366.881
"p6","p9","2012","AC",2366.881
"p6","p9","2014","AC",2366.881
"p6","p9","2016","AC",2366.881
"p6","p9","2018","AC",2366.881
"p6","p9","2020","AC",2366.881
"p6","p9","2022","AC",2366.881
"p6","p9","2024","AC",2366.881
"p6","p9","2026","AC",2366.881
"p6","p9","2028","AC",2366.881
"p6","p9","2030","AC",2366.881
"p6","p9","2032","AC",2366.881
"p6","p9","2034","AC",2366.881
"p6","p9","2036","AC",2366.881
"p6","p9","2038","AC",2366.881
"p6","p9","2040","AC",2366.881
"p6","p9","2042","AC",2366.881
"p6","p9","2044","AC",2366.881
"p6","p9","2046","AC",2366.881
"p6","p9","2048","AC",2366.881
"p6","p9","2050","AC",2366.881
"p7","p8","2010","AC",50
"p7","p8","2012","AC",50
"p7","p8","2014","AC",50
"p7","p8","2016","AC",50
"p7","p8","2018","AC",50
"p7","p8","2020","AC",50
"p7","p8","2022","AC",50
"p7","p8","2024","AC",50
"p7","p8","2026","AC",50
"p7","p8","2028","AC",50
"p7","p8","2030","AC",50
"p7","p8","2032","AC",50
"p7","p8","2034","AC",50
"p7","p8","2036","AC",50
"p7","p8","2038","AC",50
"p7","p8","2040","AC",50
"p7","p8","2042","AC",50
"p7","p8","2044","AC",50
"p7","p8","2046","AC",50
"p7","p8","2048","AC",50
"p7","p8","2050","AC",50
"p7","p12","2010","AC",1
"p7","p12","2012","AC",1
"p7","p12","2014","AC",1
"p7","p12","2016","AC",1
"p7","p12","2018","AC",1
"p7","p12","2020","AC",1
"p7","p12","2022","AC",1
"p7","p12","2024","AC",1
"p7","p12","2026","AC",1
"p7","p12","2028","AC",1
"p7","p12","2030","AC",1
"p7","p12","2032","AC",1
"p7","p12","2034","AC",1
"p7","p12","2036","AC",1
"p7","p12","2038","AC",1
"p7","p12","2040","AC",1
"p7","p12","2042","AC",1
"p7","p12","2044","AC",1
"p7","p12","2046","AC",1
"p7","p12","2048","AC",1
"p7","p12","2050","AC",1
"p7","p15","2010","AC",1303
"p7","p15","2012","AC",1303
"p7","p15","2014","AC",1303
"p7","p15","2016","AC",1303
"p7","p15","2018","AC",1303
"p7","p15","2020","AC",2518
"p7","p15","2022","AC",2518
"p7","p15","2024","AC",2518
"p7","p15","2026","AC",2518
"p7","p15","2028","AC",2518
"p7","p15","2030","AC",2518
"p7","p15","2032","AC",2518
"p7","p15","2034","AC",2518
"p7","p15","2036","AC",2518
"p7","p15","2038","AC",2518
"p7","p15","2040","AC",2518
"p7","p15","2042","AC",2518
