,Hydroelectric power generation,Nuclear electric power generation,Solar electric power generation,Wind electric power generation,Geothermal electric power generation,Biomass electric power generation,Other electric power generation,Electric bulk power transmission and control,Electric power distribution,Coal electric power generation,Gas electric power generation
111CA,0.0,0.018686715302959858,0.0,0.0,0.0,54.34338853400279,9.27163879356169e-05,0.008212464766620802,0.1595090683498926,0.0,0.0
113FF,0.0,0.0,0.0,0.0,0.0,54.34338853400279,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,26.23473929227721,0.0,0.0,0.0,0.0,10681.44049718844
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8142.94807989592,0.0
213,0.0,0.4499043800481485,0.0,0.0,0.0,0.0,0.0022322547520093167,0.1977246300160927,3.840366128800028,0.0,0.0
221100,235.23577506600273,1473.2380043464364,1.5039253365055827,270.79641200617505,24.535556012115936,12.901658318324799,7.3096477426850255,647.4607766740825,12575.501778727981,286.03713098620403,375.2066898423212
221200,2.681860125327478,16.795992267184506,0.017145850329578306,3.087277431493331,0.2797233086811311,0.1470883541621448,0.08333533794252432,7.38152706232111,143.36993072967974,3.2610327903557024,4.277631070197127
221300,35.41817853815223,221.81747930344613,0.22643790495497498,40.77235133658838,3.6941859847896454,1.942532923100035,1.1005741313317619,97.48466779025898,1893.4252967299185,43.06706397429416,56.49284223803017
23,0.0,650.9110796125151,1.7475090917901361,339.82852403619734,142.5473265279336,3.7478198988967444,3.2295736939592627,286.06334611809393,5556.151426525433,0.0,0.0
321,0.0,0.04437195218072311,0.0,0.0,0.0,0.0,0.00022015678331637742,0.019500649953855323,0.37875724216187223,0.0,0.0
327,0.0,10.526937307251638,0.0,0.0,0.0,0.0,0.05223066693794312,4.626393688490382,89.85752365968085,0.0,0.0
331,0.0,3.2477754979065807,0.0,0.0,0.0,0.0,0.016114229178843545,1.4273370902283407,27.722884171014876,0.0,0.0
332,0.0,9.566352251606897,0.0,0.0,0.0,0.0,0.04746460852583648,4.204234373868869,81.6580073288224,0.0,0.0
333,153.75139522283388,58.941550393916906,1.0485054550740815,692.243289703365,99.7831285695535,28.108649241725583,0.29244559909271567,25.90371812553787,503.1227606353462,0.0,0.0
334,25.62523253713898,2.1694511778994965,1.3980072734321087,94.39681223227704,21.382098979190037,4.68477487362093,0.010763993230295046,0.9534335527968143,18.51835010096794,0.0,0.0
