OCC,ASECWT,ASECWT_average_years
3710,1041317.77,115701.97444444445
3720,494303.25,54922.583333333336
3730,882370.36,98041.1511111111
3740,2818856.81,313206.3122222222
3750,160107.43,17789.714444444442
3800,3909874.88,434430.5422222222
3820,1530257.76,170028.64
3830,6578.8,730.9777777777778
3840,119083.61,13231.512222222222
3850,6710436.52,745604.0577777778
3860,17194.68,1910.52
3900,137899.31,15322.145555555555
3910,919213.12,102134.79111111112
3930,9006797.47,1000755.2744444446
3940,635413.33,70601.4811111111
3945,362162.99,40240.33222222222
3955,708618.92,78735.43555555557
4000,4363701.4,484855.71111111116
4010,5375486.24,597276.2488888889
4020,18908265.0,2100918.3333333335
4030,8003998.62,889333.18
4040,4154434.73,461603.8588888889
4050,3086582.39,342953.5988888889
4060,1550787.28,172309.6977777778
4110,18117752.05,2013083.5611111112
4120,1804356.66,200484.07333333333
4130,3033276.5,337030.72222222225
4140,2269643.19,252182.57666666666
4150,2348093.86,260899.31777777776
4160,6491.25,721.25
4200,2968188.47,329798.7188888889
4210,2172488.48,241387.60888888888
4220,21540570.15,2393396.683333333
4230,13911050.2,1545672.2444444443
4240,785460.27,87273.36333333334
4250,10920944.76,1213438.3066666666
4300,1516029.52,168447.72444444444
4320,1952319.62,216924.40222222224
4340,417059.45,46339.93888888889
4350,1986835.4,220759.48888888888
4400,872536.9,96948.54444444444
4410,43895.86,4877.317777777778
4420,367264.25,40807.13888888889
4430,1443696.26,160410.69555555555
4460,150643.02,16738.11333333333
4465,377970.95,41996.77222222222
4500,1100078.39,122230.93222222221
4510,7453077.04,828119.6711111111
4520,3132501.29,348055.6988888889
4530,781300.88,86811.20888888888
4540,416947.29,46327.47666666666
4600,11345580.37,1260620.041111111
4610,12224595.16,1358288.3511111112
4620,3730193.21,414465.9122222222
4640,430788.0,47865.333333333336
4650,1270620.97,141180.10777777777
4700,32085839.1,3565093.2333333334
4710,11738109.83,1304234.4255555556
4720,27819222.17,3091024.685555556
4740,1063093.04,118121.44888888889
4750,1100292.45,122254.71666666666
4760,30119043.79,3346560.421111111
4800,2227624.78,247513.86444444442
4810,6006616.63,667401.8477777778
4820,2625578.29,291730.9211111111
4830,756784.06,84087.11777777778
4840,4680526.03,520058.4477777778
4850,12482353.4,1386928.1555555556
4900,745220.33,82802.25888888889
4920,8696632.36,966292.4844444444
4930,435141.63,48349.07
4940,691057.73,76784.19222222222
4950,1497499.49,166388.83222222223
4965,2456596.79,272955.1988888889
5000,13752344.93,1528038.3255555555
5010,245461.32,27273.48
5020,329266.28,36585.142222222225
5030,93302.34,10366.926666666666
5100,1583764.76,175973.86222222223
5110,4536905.36,504100.5955555556
5120,11579167.8,1286574.2000000002
5130,80553.19,8950.354444444445
5140,1403772.78,155974.75333333333
5150,285479.99,31719.998888888887
5160,3517497.34,390833.03777777776
5165,697030.9,77447.87777777779
5200,34973.92,3885.991111111111
5210,22571.91,2507.99
5220,857442.51,95271.39
5230,421980.87,46886.763333333336
5240,20909646.29,2323294.032222222
5250,756547.05,84060.78333333334
5260,2280159.37,253351.04111111112
5300,1102440.62,122493.40222222224
5310,1486259.52,165139.94666666666
5320,823418.87,91490.98555555556
5330,1336731.45,148525.71666666667
5340,226358.27,25150.91888888889
5350,1038786.16,115420.68444444444
5360,717880.22,79764.46888888889
5400,12422544.43,1380282.7144444445
5410,1107832.6,123092.51111111112
5420,1085160.42,120573.37999999999
5500,211627.17,23514.13
5510,2294373.22,254930.3577777778
5520,2792681.05,310297.89444444445
5530,239410.88,26601.20888888889
5540,1205257.68,133917.52
5550,3190722.27,354524.69666666666
5560,674177.32,74908.5911111111
5600,2491427.89,276825.32111111115
5610,5563836.35,618204.0388888889
5620,13988323.53,1554258.17
5630,701852.77,77983.64111111111
5700,28028965.9,3114329.544444444
5800,860397.44,95599.71555555555
5810,2886502.71,320722.5233333333
5820,935636.4400000001,103959.60444444446
5830,7056.19,784.021111111111
5840,2821437.31,313493.03444444446
5850,792658.35,88073.15
5860,11522735.6,1280303.9555555554
5900,365178.67,40575.40777777778
5910,81116.92,9012.99111111111
5920,262121.88999999998,29124.654444444444
5940,5276547.59,586283.0655555555
6005,506799.72,56311.079999999994
6010,228095.92,25343.991111111114
6020,10067.6,1118.6222222222223
6040,958031.4,106447.93333333333
6050,6415968.91,712885.4344444445
6100,327136.15,36348.461111111115
6110,679.9200000000001,75.54666666666668
6120,217498.26,24166.473333333335
6130,644038.94,71559.88222222222
6200,6374641.51,708293.5011111111
6210,193132.36,21459.15111111111
6220,1283442.26,142604.69555555555
6230,12282250.44,1364694.4933333332
6240,1477396.41,164155.15666666665
6250,545204.36,60578.26222222222
6260,15447565.55,1716396.1722222222
6300,116281.65000000001,12920.183333333334
6310,4397.1900000000005,488.5766666666667
6320,3146249.04,349583.2266666667
6330,1479801.09,164422.34333333335
6355,7266938.46,807437.6066666667
6360,436007.55,48445.28333333333
6400,452271.59,50252.39888888889
6420,5158270.57,573141.1744444445
6430,1573.37,174.81888888888886
6440,5666272.27,629585.8077777778
6460,243889.07,27098.785555555558
6500,67923.99,7547.110000000001
6515,2087979.22,231997.6911111111
6520,1143884.21,127098.24555555555
6530,617449.27,68605.47444444445
6540,11286.26,1254.028888888889
6600,510938.47000000003,56770.94111111111
6660,852685.77,94742.86333333334
6700,274601.38,30511.264444444445
6710,316456.99,35161.887777777774
6720,267576.49,29730.72111111111
6730,1094792.39,121643.59888888888
6740,85159.5,9462.166666666666
6750,82374.68000000001,9152.742222222223
6765,377515.0,41946.11111111111
6800,403663.86,44851.54
6820,261583.85,29064.872222222224
6830,118983.92,13220.435555555556
6840,622472.21,69163.57888888888
6910,5068.9400000000005,563.2155555555556
6920,85486.56999999999,9498.507777777777
6930,19452.19,2161.354444444444
6940,732474.91,81386.10111111111
7000,2705261.5,300584.6111111111
7010,2405063.86,267229.3177777778
7020,1405572.18,156174.68666666665
7030,84287.41,9365.267777777779
7040,249297.96,27699.77333333333
7050,13282.82,1475.868888888889
7100,169830.41,18870.045555555556
7110,161479.63,17942.181111111113
7120,414496.43,46055.15888888889
7130,604929.28,67214.36444444445
7140,1455890.83,161765.64777777778
7150,1327464.38,147496.0422222222
7160,224452.47,24939.163333333334
7200,8201612.52,911290.2799999999
7210,3194959.8,354995.5333333333
7220,1992770.15,221418.90555555554
7240,473292.7,52588.07777777778
7260,909847.49,101094.16555555555
7300,220268.4,24474.266666666666
7315,3711796.15,412421.7944444444
7320,439060.35,48784.48333333333
7330,3971255.94,441250.66
7340,4744094.14,527121.5711111111
7350,286262.2,31806.911111111112
7360,580722.46,64524.717777777776
7410,1222258.38,135806.48666666666
7420,1844112.31,204901.36777777778
7430,667558.83,74173.20333333332
7440,1955.69,217.29888888888888
7510,407019.78,45224.420000000006
7520,1699.89,188.87666666666667
7540,286829.21,31869.912222222225
7550,69226.52,7691.835555555556
7560,137699.83,15299.98111111111
7600,9418.98,1046.5533333333333
7610,156337.16,17370.795555555556
7630,1927570.72,214174.52444444445
7700,7576217.03,841801.8922222223
7710,99218.95,11024.327777777777
7720,1458569.07,162063.23
7730,143493.23,15943.692222222224
7740,260873.87,28985.985555555555
7750,9742648.04,1082516.4488888888
7800,2051266.55,227918.50555555557
7810,2993538.56,332615.3955555556
7830,122950.65,13661.183333333332
7840,779953.36,86661.48444444445
7850,157077.45,17453.050000000003
7855,1239407.37,137711.93000000002
7900,834909.6,92767.73333333334
7920,124040.35,13782.261111111111
7930,12405.33,1378.37
7940,139724.79,15524.976666666667
7950,788817.62,87646.40222222223
7960,13084.470000000001,1453.8300000000002
8000,464547.53,51616.392222222225
8010,134951.93,14994.658888888887
8020,8146.06,905.1177777777779
8030,3744928.36,416103.1511111111
8040,258895.55000000002,28766.172222222223
8060,16942.21,1882.4677777777777
8100,364788.79,40532.08777777778
8120,6788.29,754.2544444444444
8130,609668.82,67740.98
8140,5662697.24,629188.5822222222
8150,5969.82,663.3133333333333
8160,12153.43,1350.381111111111
8200,192603.44,21400.382222222222
8210,51783.770000000004,5753.752222222222
8220,3921299.25,435699.9166666667
8250,268850.89,29872.321111111112
8255,1745172.24,193908.02666666667
8256,150681.03,16742.336666666666
8300,1638796.6,182088.51111111112
8310,376779.41,41864.37888888889
8320,1831759.86,203528.87333333335
8330,97538.87,10837.652222222221
8340,17289.3,1921.0333333333333
8350,896776.01,99641.77888888889
8360,7000.65,777.8499999999999
8400,64582.93,7175.881111111111
8410,128000.63,14222.292222222222
8420,134374.9,14930.544444444444
8430,6161.37,684.5966666666667
8440,7478.5599999999995,830.951111111111
8450,313589.22,34843.246666666666
8460,274747.33,30527.481111111112
8500,569159.4,63239.933333333334
8510,134682.25,14964.694444444445
8530,269645.75,29960.63888888889
8540,213035.05,23670.56111111111
8550,266356.63,29595.181111111113
8600,410741.86,45637.984444444446
8610,807150.32,89683.36888888889
8620,775060.82,86117.86888888889
8630,357410.79,39712.31
8640,567523.78,63058.19777777778
8650,828286.57,92031.8411111111
8710,616956.1,68550.67777777778
8720,329265.9,36585.100000000006
8730,127559.01,14173.223333333333
8740,7125837.42,791759.7133333334
8750,449392.61,49932.51222222222
8760,890334.88,98926.09777777777
8800,2553341.85,283704.65
8810,1442132.86,160236.98444444445
8830,300767.38,33418.59777777778
8840,10165.18,1129.4644444444446
8850,76321.79,8480.198888888888
8860,56190.39,6243.376666666667
8900,5147.59,571.9544444444444
8910,101423.46,11269.273333333334
8920,353203.11,39244.79
8930,338121.87,37569.096666666665
8940,113623.03,12624.781111111111
8950,421206.6,46800.73333333333
8965,9050888.55,1005654.2833333334
9000,1823213.74,202579.30444444445
9030,1135781.89,126197.98777777777
9040,321893.11,35765.90111111111
9050,870985.2,96776.13333333333
9110,150060.13,16673.347777777777
9120,5877182.67,653020.2966666666
9130,32248726.71,3583191.856666667
9140,4959079.22,551008.8022222222
9150,608274.45,67586.04999999999
9200,415642.36,46182.484444444446
9230,16168.79,1796.5322222222223
9240,554460.78,61606.753333333334
9260,128028.39,14225.376666666667
9300,277829.82,30869.98
9310,354015.82,39335.09111111111
9330,17778.5,1975.388888888889
9340,10523.6,1169.288888888889
9350,769832.3,85536.92222222223
9360,815365.64,90596.18222222223
9410,397453.01,44161.445555555554
9415,304206.18,33800.68666666667
9420,318004.15,35333.794444444444
9500,12125.79,1347.3100000000002
9510,668946.34,74327.3711111111
9520,325249.54,36138.83777777778
9560,90983.85,10109.316666666668
9600,5605525.71,622836.19
9610,3014741.89,334971.32111111115
9620,17641865.57,1960207.2855555555
9630,237776.13,26419.57
9640,4757604.76,528622.7511111111
9650,211183.88,23464.875555555554
9720,897668.94,99740.99333333333
9730,3991.52,443.5022222222222
9740,6687.54,743.06
9750,497316.33,55257.37
